0.03	 A0:31	 A1:179	 A2:70	 T:23.00
0.05	 B0:75	 B1:125	 B2:88	 T:nan
0.06	 C0:15	 C1:83	 C2:16	 T:23.40
0.05	 D0:13	 D1:202	 D2:81	 T:nan

0.06	 A0:31	 A1:179	 A2:70	 T:23.00
0.12	 B0:75	 B1:124	 B2:88	 T:nan
0.13	 C0:15	 C1:83	 C2:15	 T:23.40
0.12	 D0:13	 D1:202	 D2:81	 T:nan

0.13	 A0:31	 A1:179	 A2:70	 T:23.00
0.19	 B0:75	 B1:125	 B2:88	 T:nan
0.20	 C0:15	 C1:83	 C2:15	 T:23.40
0.19	 D0:13	 D1:201	 D2:81	 T:nan

0.21	 A0:31	 A1:179	 A2:70	 T:23.00
0.27	 B0:75	 B1:125	 B2:88	 T:nan
0.28	 C0:14	 C1:83	 C2:15	 T:23.40
0.27	 D0:13	 D1:201	 D2:81	 T:nan

0.29	 A0:31	 A1:179	 A2:70	 T:23.00
0.34	 B0:75	 B1:125	 B2:88	 T:nan
0.35	 C0:15	 C1:83	 C2:16	 T:23.40
0.34	 D0:13	 D1:201	 D2:81	 T:nan

0.36	 A0:31	 A1:179	 A2:70	 T:23.00
0.41	 B0:75	 B1:125	 B2:88	 T:nan
0.43	 C0:15	 C1:83	 C2:16	 T:23.40
0.41	 D0:13	 D1:202	 D2:81	 T:nan

0.44	 A0:31	 A1:179	 A2:70	 T:23.00
0.49	 B0:75	 B1:125	 B2:88	 T:nan
0.50	 C0:14	 C1:83	 C2:15	 T:23.40
0.49	 D0:13	 D1:201	 D2:81	 T:nan

0.52	 A0:31	 A1:179	 A2:70	 T:23.00
0.56	 B0:75	 B1:125	 B2:88	 T:nan
0.58	 C0:15	 C1:83	 C2:15	 T:23.40
0.56	 D0:13	 D1:201	 D2:81	 T:nan

0.59	 A0:31	 A1:179	 A2:70	 T:23.00
0.63	 B0:75	 B1:124	 B2:88	 T:nan
0.65	 C0:14	 C1:83	 C2:15	 T:23.40
0.63	 D0:13	 D1:201	 D2:81	 T:nan

0.67	 A0:31	 A1:179	 A2:70	 T:23.00
0.70	 B0:75	 B1:125	 B2:88	 T:nan
0.73	 C0:14	 C1:83	 C2:15	 T:23.40
0.70	 D0:12	 D1:201	 D2:81	 T:nan

0.75	 A0:31	 A1:179	 A2:70	 T:23.00
0.78	 B0:75	 B1:124	 B2:88	 T:nan
0.80	 C0:15	 C1:83	 C2:15	 T:23.40
0.78	 D0:13	 D1:201	 D2:81	 T:nan

0.83	 A0:31	 A1:179	 A2:70	 T:23.00
0.85	 B0:75	 B1:125	 B2:88	 T:nan
0.88	 C0:15	 C1:84	 C2:16	 T:23.40
0.85	 D0:13	 D1:201	 D2:81	 T:nan

0.90	 A0:31	 A1:179	 A2:70	 T:23.00
0.92	 B0:75	 B1:125	 B2:88	 T:nan
0.95	 C0:15	 C1:83	 C2:15	 T:23.40
0.92	 D0:13	 D1:201	 D2:81	 T:nan

0.98	 A0:31	 A1:179	 A2:70	 T:23.00
1.00	 B0:75	 B1:125	 B2:88	 T:nan
1.03	 C0:15	 C1:83	 C2:16	 T:23.40
1.00	 D0:13	 D1:201	 D2:81	 T:nan

1.06	 A0:31	 A1:179	 A2:70	 T:23.00
1.07	 B0:75	 B1:125	 B2:88	 T:nan
1.10	 C0:14	 C1:83	 C2:16	 T:23.40
1.07	 D0:13	 D1:202	 D2:81	 T:nan

1.13	 A0:32	 A1:179	 A2:70	 T:23.00
1.14	 B0:75	 B1:124	 B2:88	 T:nan
1.18	 C0:14	 C1:83	 C2:15	 T:23.40
1.14	 D0:13	 D1:201	 D2:81	 T:nan

1.21	 A0:31	 A1:179	 A2:70	 T:23.00
1.21	 B0:75	 B1:125	 B2:88	 T:nan
1.25	 C0:15	 C1:83	 C2:15	 T:23.40
1.21	 D0:13	 D1:201	 D2:80	 T:nan

1.29	 A0:31	 A1:179	 A2:70	 T:23.00
1.29	 B0:75	 B1:125	 B2:88	 T:nan
1.33	 C0:15	 C1:83	 C2:15	 T:23.40
1.29	 D0:13	 D1:201	 D2:81	 T:nan

1.36	 A0:31	 A1:179	 A2:70	 T:23.00
1.36	 B0:75	 B1:124	 B2:88	 T:nan
1.40	 C0:15	 C1:83	 C2:16	 T:23.40
1.36	 D0:13	 D1:201	 D2:81	 T:nan

1.44	 A0:31	 A1:179	 A2:70	 T:23.00
1.43	 B0:75	 B1:124	 B2:88	 T:nan
1.48	 C0:15	 C1:83	 C2:15	 T:23.40
1.43	 D0:13	 D1:202	 D2:81	 T:nan

1.52	 A0:31	 A1:179	 A2:70	 T:23.00
1.51	 B0:75	 B1:124	 B2:87	 T:nan
1.55	 C0:14	 C1:83	 C2:15	 T:23.40
1.51	 D0:13	 D1:201	 D2:80	 T:nan

1.60	 A0:31	 A1:179	 A2:71	 T:23.00
1.58	 B0:75	 B1:124	 B2:87	 T:nan
1.63	 C0:15	 C1:83	 C2:15	 T:23.40
1.58	 D0:13	 D1:201	 D2:80	 T:nan

1.67	 A0:31	 A1:179	 A2:70	 T:23.00
1.65	 B0:75	 B1:124	 B2:88	 T:nan
1.70	 C0:15	 C1:83	 C2:15	 T:23.40
1.65	 D0:13	 D1:202	 D2:81	 T:nan

1.75	 A0:31	 A1:179	 A2:70	 T:23.00
1.72	 B0:75	 B1:124	 B2:87	 T:nan
1.77	 C0:15	 C1:83	 C2:15	 T:23.40
1.72	 D0:13	 D1:201	 D2:81	 T:nan

1.83	 A0:31	 A1:179	 A2:70	 T:23.00
1.80	 B0:75	 B1:124	 B2:87	 T:nan
1.85	 C0:15	 C1:83	 C2:16	 T:23.40
1.80	 D0:13	 D1:201	 D2:81	 T:nan

1.90	 A0:31	 A1:179	 A2:70	 T:23.00
1.87	 B0:75	 B1:125	 B2:87	 T:nan
1.92	 C0:15	 C1:83	 C2:16	 T:23.40
1.87	 D0:13	 D1:201	 D2:81	 T:nan

1.98	 A0:31	 A1:179	 A2:70	 T:23.00
1.94	 B0:75	 B1:124	 B2:87	 T:nan
2.00	 C0:14	 C1:83	 C2:15	 T:23.40
1.94	 D0:13	 D1:201	 D2:81	 T:nan

2.06	 A0:31	 A1:179	 A2:70	 T:23.00
2.02	 B0:75	 B1:124	 B2:87	 T:nan
2.08	 C0:15	 C1:83	 C2:16	 T:23.40
2.02	 D0:13	 D1:201	 D2:81	 T:nan

2.13	 A0:31	 A1:179	 A2:70	 T:23.00
2.09	 B0:75	 B1:125	 B2:87	 T:nan
2.15	 C0:15	 C1:83	 C2:15	 T:23.40
2.09	 D0:13	 D1:201	 D2:81	 T:nan
